uniqueID,reject,Recruit_year,Cohort,Discipline,top100,PI,avg_pub,avg_FA_pub,avg_FA_top10pub,avg_LA_pub,avg_LA_top10pub,grant_nlg
1_1,0,2011,1,PHYSICS AND MATHEMATICS,1,0,4.6,0.8,0.8,0,0,90000
1_10,1,2011,1,PHYSICS AND MATHEMATICS,0,1,0.6,0.4,0,0.2,0.2,0
1_107,0,2011,1,ENGINEERING AND MATERIALS SCIENCE,1,0,1,0.4,0.4,0,0,7.5
1_11,0,2011,1,PHYSICS AND MATHEMATICS,0,0,2,0.25,0,0,0,0
1_112,0,2011,1,ENGINEERING AND MATERIALS SCIENCE,0,1,2.5,1.75,0.75,0.25,0,0
1_113,0,2011,1,ENGINEERING AND MATERIALS SCIENCE,1,1,1.75,1.25,0,0.25,0,0
1_114,0,2011,1,ENGINEERING AND MATERIALS SCIENCE,1,1,0,0,0,0,0,0
1_117,0,2011,1,ENGINEERING AND MATERIALS SCIENCE,0,0,2,0.4,0.2,0.2,0.2,0
1_118,0,2011,1,LIFE SCIENCE,1,0,0.25,0.25,0.25,0,0,0
1_119,0,2011,1,LIFE SCIENCE,1,0,1.4,0.6,0.4,0,0,0
1_12,0,2011,1,PHYSICS AND MATHEMATICS,0,0,1.75,1,0.25,0.25,0,0
1_121,0,2011,1,LIFE SCIENCE,1,0,0.8,0.2,0.2,0,0,0
1_122,0,2011,1,LIFE SCIENCE,0,0,1.2,0.6,0.4,0,0,0
1_123,1,2011,1,LIFE SCIENCE,1,1,1,0,0,0.6,0,0
1_124,0,2011,1,LIFE SCIENCE,1,0,0.2,0.2,0.2,0,0,0
1_125,0,2011,1,LIFE SCIENCE,0,0,2,1.5,0.75,0,0,0
1_126,0,2011,1,LIFE SCIENCE,1,0,2.4,0.6,0.4,0,0,0
1_128,0,2011,1,LIFE SCIENCE,0,0,1.4,0.6,0.6,0,0,0
1_129,0,2011,1,LIFE SCIENCE,0,0,0.8,0.6,0.4,0,0,0
1_13,0,2011,1,PHYSICS AND MATHEMATICS,1,0,0,0,0,0,0,0
1_131,0,2011,1,LIFE SCIENCE,1,0,3.2,0.6,0.6,0,0,0
1_134,0,2011,1,LIFE SCIENCE,0,0,0.5,0.25,0.25,0,0,0
1_136,1,2011,1,LIFE SCIENCE,0,1,1,0.4,0.2,0,0,0
1_137,0,2011,1,LIFE SCIENCE,1,0,1,0.4,0.4,0,0,0
1_140,0,2011,1,LIFE SCIENCE,0,0,0.8,0.6,0.6,0,0,0
1_142,0,2011,1,LIFE SCIENCE,1,0,1,0.4,0.2,0,0,0
1_143,0,2011,1,LIFE SCIENCE,0,0,1.8,0,0,0,0,0
1_144,0,2012,2,PHYSICS AND MATHEMATICS,1,0,0.25,0,0,0.25,0,0
1_145,0,2012,2,PHYSICS AND MATHEMATICS,1,0,4.5,1.5,0.5,0,0,0
1_146,1,2012,2,PHYSICS AND MATHEMATICS,1,1,0.75,0.25,0,0.75,0.25,0
1_147,0,2012,2,PHYSICS AND MATHEMATICS,0,0,3,1.75,0.25,0,0,0
1_148,0,2012,2,PHYSICS AND MATHEMATICS,0,1,4.2,2.6,0.6,0.2,0,0
1_15,0,2011,1,PHYSICS AND MATHEMATICS,0,0,0.8,0.6,0.4,0,0,0
1_150,0,2012,2,PHYSICS AND MATHEMATICS,1,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0
1_151,0,2012,2,PHYSICS AND MATHEMATICS,0,0,2,0.75,0,0,0,0
1_152,0,2012,2,PHYSICS AND MATHEMATICS,0,0,1.6666666666666667,0.6666666666666666,0.6666666666666666,0,0,0
1_155,0,2012,2,PHYSICS AND MATHEMATICS,0,0,2,1,0.5,0,0,0
1_156,0,2012,2,PHYSICS AND MATHEMATICS,0,1,5.8,1.2,0.8,0,0,0
1_157,0,2012,2,PHYSICS AND MATHEMATICS,1,0,5,1.25,0.5,2.25,0.25,0
1_159,0,2012,2,PHYSICS AND MATHEMATICS,0,0,3.3333333333333335,1,0.3333333333333333,0,0,0
1_16,1,2011,1,PHYSICS AND MATHEMATICS,1,1,3.5,1.25,0.75,2,0.25,0
1_161,0,2012,2,PHYSICS AND MATHEMATICS,1,0,5,2,1.3333333333333333,0,0,0
1_163,0,2012,2,PHYSICS AND MATHEMATICS,1,0,1.8,0.8,0.4,0,0,0
1_164,0,2012,2,PHYSICS AND MATHEMATICS,1,0,7,1.5,1,0,0,186000
1_165,0,2012,2,PHYSICS AND MATHEMATICS,1,0,16.4,0,0,0,0,0
1_166,0,2012,2,PHYSICS AND MATHEMATICS,0,1,2,1.2,0.8,0,0,93200
1_168,0,2012,2,PHYSICS AND MATHEMATICS,0,0,1.4,1,1,0,0,0
1_169,0,2012,2,PHYSICS AND MATHEMATICS,0,0,2.6,1,0.8,0,0,0
1_17,0,2011,1,PHYSICS AND MATHEMATICS,0,0,1.5,1,0.5,0,0,0
1_170,0,2012,2,PHYSICS AND MATHEMATICS,1,1,1.4,1.2,0.2,0,0,0
1_171,0,2012,2,PHYSICS AND MATHEMATICS,1,0,3.25,0.75,0.5,0.75,0.25,0
1_172,1,2012,2,PHYSICS AND MATHEMATICS,1,0,1.6,0.6,0.2,0,0,0
1_173,0,2012,2,PHYSICS AND MATHEMATICS,1,0,1,1,0.6,0,0,0
1_175,1,2012,2,PHYSICS AND MATHEMATICS,1,1,3.8,0.6,0.2,1.6,0.6,56571.42857142857
1_177,0,2012,2,PHYSICS AND MATHEMATICS,1,0,3.25,0.75,0,1.5,0.75,0
1_178,0,2012,2,PHYSICS AND MATHEMATICS,0,0,1.2,1,0.8,0,0,0
1_179,0,2012,2,PHYSICS AND MATHEMATICS,1,1,2,1.5,0,0,0,0
1_18,0,2011,1,PHYSICS AND MATHEMATICS,1,1,0.5,0.5,0,0.5,0,0
1_180,0,2012,2,PHYSICS AND MATHEMATICS,1,0,3.75,1.25,0.5,0,0,0
1_181,0,2012,2,PHYSICS AND MATHEMATICS,1,0,0.8,0.6,0.6,0,0,30000
1_183,0,2012,2,CHEMISTRY,1,1,1.6666666666666667,0.3333333333333333,0.3333333333333333,0,0,0
1_184,0,2012,2,CHEMISTRY,0,0,1.4,1.2,1.2,0,0,0
1_186,0,2012,2,CHEMISTRY,0,0,2.8,0.6,0.4,0,0,0
1_187,0,2012,2,CHEMISTRY,0,1,2.8,1,0.6,0,0,0
1_188,1,2012,2,CHEMISTRY,1,1,5,2.5,1.5,0,0,153635.88888888888
1_189,0,2012,2,CHEMISTRY,0,1,5.2,0.4,0.2,3.2,0,13000
1_19,0,2011,1,PHYSICS AND MATHEMATICS,1,1,1.4,0.6,0.2,0,0,14111.111111111113
1_190,0,2012,2,CHEMISTRY,0,1,1.6,0.6,0.6,0,0,0
1_191,0,2012,2,CHEMISTRY,1,1,3.6666666666666665,0.3333333333333333,0.3333333333333333,0,0,0
1_192,0,2012,2,CHEMISTRY,0,1,5.4,1.4,0.6,0,0,3.3333333333333335
1_193,0,2012,2,CHEMISTRY,1,1,2,1.5,1,0,0,0
1_194,0,2012,2,CHEMISTRY,1,0,2.25,1,1,0,0,0
1_197,1,2012,2,CHEMISTRY,NA,1,3.8,0.8,0.6,1.2,1,0
1_199,1,2012,2,CHEMISTRY,1,1,2,0.6,0.4,1.2,0.2,0
1_2,0,2011,1,PHYSICS AND MATHEMATICS,1,0,0,0,0,0,0,0
1_20,0,2011,1,PHYSICS AND MATHEMATICS,0,0,1.4,0.2,0.2,0.4,0,0
1_200,0,2012,2,CHEMISTRY,1,0,2.2,1.2,0.8,0,0,10.5
1_202,0,2012,2,CHEMISTRY,0,1,0,0,0,0,0,0
1_203,0,2012,2,CHEMISTRY,1,1,2.2,1,0.6,0,0,0
1_204,0,2012,2,CHEMISTRY,0,0,3.25,1.25,0.75,0,0,0
1_207,0,2012,2,CHEMISTRY,0,0,19,8,3,0,0,0
1_21,0,2011,1,PHYSICS AND MATHEMATICS,0,0,2,1,0.4,0,0,0
1_210,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,1,0,1.3333333333333333,0.3333333333333333,0.3333333333333333,1,1,0
1_211,1,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,1,1,0.8,0.6,0,0.6,0,87064.8
1_212,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,1,3.25,1.25,0.75,0,0,0
1_213,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,1,1,1,0.5,0,0,0
1_214,1,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,1,4.25,2.25,1,0,0,107019.8125
1_215,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,1,1,0.8,0.8,0.4,0,0,0
1_216,1,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,1,4.8,1.6,1.2,1.8,0.4,0
1_217,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,0,1.75,0.75,0,0,0,0
1_218,1,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,1,2.8,0.6,0.2,0.6,0,0
1_220,1,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,1,0.75,0.25,0.25,0,0,0
1_221,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,1,0,0,0,0,0,0,0
1_222,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,1,0.6,0.4,0,0,0,0
1_223,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,1,0,3,2,1.6666666666666667,0,0,0
1_224,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,1,3.6666666666666665,2.6666666666666665,1.6666666666666667,0,0,0
1_225,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,1,0,1.5,1.25,1.25,0,0,0
1_226,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,1,0,1.6,1.6,1.4,0,0,0
1_228,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,0,1.6,0.8,0.6,0.2,0,0
1_230,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,1,0,2.6,1.6,1,0,0,0
1_231,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,1,1.4,1,0,0.2,0,0
1_233,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,1,0,1.5,1.5,0.75,0,0,0
1_234,1,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,1,4,2,1.25,0.25,0.25,0
1_236,1,2012,2,INFORMATION SCIENCE,1,1,2.4,1.8,0.8,0.4,0.4,0
1_237,1,2012,2,INFORMATION SCIENCE,0,1,1.6,0.6,0,0.2,0.2,0
1_238,0,2012,2,INFORMATION SCIENCE,1,0,4,1.8,0.2,0.4,0,0
1_24,0,2011,1,CHEMISTRY,1,0,2,2,2,0,0,0
1_241,0,2012,2,INFORMATION SCIENCE,1,1,3,1,1,0,0,0
1_242,1,2012,2,INFORMATION SCIENCE,0,1,3,1.2,0.2,0.2,0,0
1_243,0,2012,2,INFORMATION SCIENCE,1,0,3.6666666666666665,0.6666666666666666,0.6666666666666666,0,0,0
1_248,0,2012,2,INFORMATION SCIENCE,1,0,0.8,0,0,0,0,0
1_25,0,2011,1,CHEMISTRY,1,0,1,1,1,0,0,0
1_250,0,2012,2,INFORMATION SCIENCE,1,0,0.5,0.5,0.5,0,0,0
1_252,0,2012,2,INFORMATION SCIENCE,1,0,0,0,0,0,0,0
1_253,0,2012,2,INFORMATION SCIENCE,1,1,1.6,0.2,0,0.6,0,0
1_254,0,2012,2,INFORMATION SCIENCE,0,0,1.25,1,0.5,0,0,0
1_255,1,2012,2,INFORMATION SCIENCE,1,1,4.8,1.6,0.8,0.8,0.6,0
1_257,0,2012,2,INFORMATION SCIENCE,0,0,3.5,1.5,1.5,0,0,0
1_258,1,2012,2,LIFE SCIENCE,0,0,1.2,0.8,0.8,0,0,0
1_26,1,2011,1,CHEMISTRY,NA,1,6.6,1,0.8,3.4,2,0
1_260,0,2012,2,LIFE SCIENCE,1,1,0.6666666666666666,0.6666666666666666,0.3333333333333333,0,0,0
1_261,0,2012,2,LIFE SCIENCE,1,0,4,2,1,0,0,0
1_262,0,2012,2,LIFE SCIENCE,1,1,0.25,0,0,0,0,0
1_264,0,2012,2,LIFE SCIENCE,1,0,1.4,0.8,0.4,0,0,0
1_266,0,2012,2,LIFE SCIENCE,1,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0
1_269,0,2012,2,LIFE SCIENCE,0,0,2.5,1,0,0,0,174500
1_27,0,2011,1,CHEMISTRY,0,0,2.6666666666666665,1.3333333333333333,0.6666666666666666,0.3333333333333333,0,0
1_270,0,2012,2,LIFE SCIENCE,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0
1_274,1,2012,2,LIFE SCIENCE,1,1,0.8,0.4,0.2,0,0,0
1_275,1,2012,2,LIFE SCIENCE,1,1,0.8,0.6,0.6,0,0,0
1_277,0,2012,2,LIFE SCIENCE,1,1,1,0.75,0.75,0,0,0
1_279,0,2012,2,LIFE SCIENCE,0,0,1.5,0.5,0.5,0,0,0
1_28,0,2011,1,CHEMISTRY,0,0,3.25,1.25,1.25,0,0,0
1_282,0,2012,2,LIFE SCIENCE,0,1,0.4,0.2,0.2,0,0,0
1_283,1,2012,2,LIFE SCIENCE,1,1,3.8,1.2,0.8,0,0,85015.26857142858
1_284,0,2012,2,LIFE SCIENCE,1,1,3,1.5,1.5,0,0,0
1_289,0,2012,2,LIFE SCIENCE,1,0,1,0.2,0.2,0,0,0
1_29,0,2011,1,CHEMISTRY,0,0,4,1.3333333333333333,1,0,0,0
1_290,1,2012,2,LIFE SCIENCE,0,1,1.2,0.8,0.8,0.4,0.2,32175
1_293,0,2012,2,LIFE SCIENCE,NA,0,2.2,0.8,0.8,1,0.8,2502.5
1_294,0,2012,2,LIFE SCIENCE,1,0,3.3333333333333335,1,0.3333333333333333,0,0,0
1_300,1,2012,2,LIFE SCIENCE,1,1,0.75,0.5,0.25,0,0,0
1_301,0,2012,2,LIFE SCIENCE,0,0,0.75,0.75,0.75,0,0,0
1_304,0,2012,2,LIFE SCIENCE,0,0,1,0.4,0.4,0,0,0
1_305,0,2012,2,LIFE SCIENCE,0,1,3.3333333333333335,1.3333333333333333,0.6666666666666666,0,0,0
1_306,0,2012,2,LIFE SCIENCE,0,1,0,0,0,0,0,0
1_309,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,1,0,1.8,1.6,0.8,0.2,0,0
1_310,1,2012,2,ENGINEERING AND MATERIALS SCIENCE,1,1,3.4,0.4,0.2,0,0,0
1_313,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,0,0,3.6666666666666665,1.6666666666666667,1,0,0,0
1_314,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,0,1,1.6,1.6,0.4,0,0,0
1_315,1,2012,2,ENGINEERING AND MATERIALS SCIENCE,0,1,1.6,1,0,0.4,0,47052.08
1_316,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,1,0,1.8,0.6,0.2,0.2,0,0
1_319,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,0,1,2.2,1.8,0.4,0,0,0
1_32,0,2011,1,CHEMISTRY,0,0,4.25,2,1,0,0,20000
1_320,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,1,0,3.6666666666666665,2,1.3333333333333333,0.3333333333333333,0,0
1_322,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,1,1,0.3333333333333333,0.3333333333333333,0,0,0,0
1_323,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,0,1,0.8,0,0,0,0,0
1_325,1,2012,2,ENGINEERING AND MATERIALS SCIENCE,1,1,2,1,0,0.2,0,7116.32
1_327,1,2012,2,ENGINEERING AND MATERIALS SCIENCE,1,1,1.2,0.8,0,0.6,0,16849
1_329,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,0,0,1.6666666666666667,0.3333333333333333,0.3333333333333333,0,0,0
1_330,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,1,1,1.8,1.2,0.6,0,0,0
1_331,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,1,1,0.6,0.4,0,0,0,0
1_332,1,2012,2,ENGINEERING AND MATERIALS SCIENCE,1,1,2.8,1.6,0.4,1,0,0
1_333,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,0,0,3.6,1.8,1.2,0.2,0.2,0
1_334,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,0,1,1.8,1.2,0.4,0,0,0
1_336,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,1,1,5,5,3,0,0,0
1_337,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,1,0,2.3333333333333335,1,0.6666666666666666,0,0,0
1_338,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,1,0,1.3333333333333333,1,1,0,0,0
1_340,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,1,1,5,1,0,0.5,0.5,0
1_341,1,2012,2,ENGINEERING AND MATERIALS SCIENCE,1,1,16.8,5.6,1.4,0.4,0.2,36000
1_342,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,1,1,6.666666666666667,4.333333333333333,1.6666666666666667,0,0,0
1_343,1,2012,2,ENGINEERING AND MATERIALS SCIENCE,1,1,7.6,2.6,1.4,0,0,0
1_344,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,0,1,1,0.3333333333333333,0,0.6666666666666666,0,0
1_350,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,1,1,8.2,2.2,1.4,0,0,0
1_353,1,2012,2,ENGINEERING AND MATERIALS SCIENCE,0,1,3.6,0.4,0,1.2,0.4,102112.02
1_354,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,1,0,3,1,0,0,0,0
1_355,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,0,0,1.4,0.6,0.6,0,0,0
1_356,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,0,0,0.8,0,0,0,0,0
1_357,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,1,0,2,1,0,0,0,0
1_358,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,0,1,0,0,0,0,0,0
1_359,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,1,1,0.8,0.2,0.2,0,0,0
1_36,0,2011,1,CHEMISTRY,0,0,3,2,1.6666666666666667,0,0,0
1_360,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,0,1,3.3333333333333335,2,0.3333333333333333,0,0,0
1_361,0,2012,2,ENGINEERING AND MATERIALS SCIENCE,1,1,2.6,1.2,0.6,0.4,0,0
1_362,0,2012,3,PHYSICS AND MATHEMATICS,1,0,5.5,3.25,1,0.5,0,0
1_363,0,2012,3,PHYSICS AND MATHEMATICS,0,0,1.25,0.5,0.5,0,0,0
1_364,0,2012,3,PHYSICS AND MATHEMATICS,1,0,1.4,1,0.6,0.2,0,2000
1_366,0,2012,3,CHEMISTRY,0,0,2.2,2.2,0,0.2,0,0
1_374,1,2012,3,INFORMATION SCIENCE,1,1,5.2,1.6,0.2,0.2,0,0
1_376,1,2012,3,ENGINEERING AND MATERIALS SCIENCE,0,1,5,2.4,0.6,0,0,29837.293333333335
1_378,0,2012,3,ENGINEERING AND MATERIALS SCIENCE,0,0,3,3,1,0,0,0
1_379,0,2012,3,INFORMATION SCIENCE,0,0,2,0.2,0.2,0.2,0,32
1_380,0,2012,3,ENGINEERING AND MATERIALS SCIENCE,0,1,2,0.6666666666666666,0,0,0,0
1_381,1,2012,3,ENVIRONMENTAL AND EARTH SCIENCE,1,1,3.2,1.6,0.6,0.4,0.2,0
1_386,0,2012,3,LIFE SCIENCE,1,0,2,1,1,0,0,38888.88888888889
1_387,0,2012,3,LIFE SCIENCE,0,1,0,0,0,0,0,0
1_388,0,2012,3,ENGINEERING AND MATERIALS SCIENCE,1,0,4,0.5,0.5,0,0,0
1_389,0,2012,3,ENGINEERING AND MATERIALS SCIENCE,1,1,3,1.25,0.25,1,0.25,0
1_390,1,2012,3,PHYSICS AND MATHEMATICS,0,1,1.2,0.8,0.4,0,0,0
1_394,1,2012,3,ENGINEERING AND MATERIALS SCIENCE,NA,1,11,3,1.2,0.8,0.4,12917.5
1_4,0,2011,1,PHYSICS AND MATHEMATICS,1,0,0.5,0,0,0.5,0,0
1_40,0,2011,1,CHEMISTRY,1,0,2,2,2,0,0,0
1_400,0,2012,3,ENGINEERING AND MATERIALS SCIENCE,0,0,1.2,0.8,0.4,0,0,0
1_401,1,2012,3,ENGINEERING AND MATERIALS SCIENCE,1,1,4.4,2.6,0.2,1.8,0.4,90825.2
1_402,0,2012,3,PHYSICS AND MATHEMATICS,0,0,2,1.8,0.4,0.2,0,0
